id,condition,preset,detected,success,review_notes,lighting,angle,background_complexity,notes
complex_1,complex,default,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,밝은 A4 문서가 나뭇결 무늬 배경 위에 놓여 있음. 정면에 가까운 배치이며 문서 전반의 밝기가 비교적 균일함.
complex_1,complex,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,밝은 A4 문서가 나뭇결 무늬 배경 위에 놓여 있음. 정면에 가까운 배치이며 문서 전반의 밝기가 비교적 균일함.
complex_1,complex,strict,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,밝은 A4 문서가 나뭇결 무늬 배경 위에 놓여 있음. 정면에 가까운 배치이며 문서 전반의 밝기가 비교적 균일함.
complex_2,complex,default,False,0,체크무늬 배경에서 문서 contour 형성 실패로 면적 기준 미달.,uniform,front,high,세로로 긴 영수증이 파랑·흰색 체크무늬 배경 위에 놓여 있음. 정면에 가까우며 배경의 반복 무늬가 뚜렷함.
complex_2,complex,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,세로로 긴 영수증이 파랑·흰색 체크무늬 배경 위에 놓여 있음. 정면에 가까우며 배경의 반복 무늬가 뚜렷함.
complex_2,complex,strict,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,세로로 긴 영수증이 파랑·흰색 체크무늬 배경 위에 놓여 있음. 정면에 가까우며 배경의 반복 무늬가 뚜렷함.
complex_3,complex,default,True,0,문서보다 큰 직사각형 받침을 문서로 잘못 선택.,uniform,front,high,밝은 A4 문서 바깥에 큰 검정 직사각형 받침과 나무 배경이 함께 보임. 정면에 가까우며 문서와 받침의 사각형 경계가 중첩됨.
complex_3,complex,sensitive,True,0,문서보다 큰 직사각형 받침을 문서로 잘못 선택.,uniform,front,high,밝은 A4 문서 바깥에 큰 검정 직사각형 받침과 나무 배경이 함께 보임. 정면에 가까우며 문서와 받침의 사각형 경계가 중첩됨.
complex_3,complex,strict,True,0,문서보다 큰 직사각형 받침을 문서로 잘못 선택.,uniform,front,high,밝은 A4 문서 바깥에 큰 검정 직사각형 받침과 나무 배경이 함께 보임. 정면에 가까우며 문서와 받침의 사각형 경계가 중첩됨.
complex_4,complex,default,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,"나무 책상 위 문서 주변에 키보드, 컵, 식물, 필기구, 케이블 등이 보임. 정면에 가까우며 주변 물체의 경계가 많음."
complex_4,complex,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,"나무 책상 위 문서 주변에 키보드, 컵, 식물, 필기구, 케이블 등이 보임. 정면에 가까우며 주변 물체의 경계가 많음."
complex_4,complex,strict,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,"나무 책상 위 문서 주변에 키보드, 컵, 식물, 필기구, 케이블 등이 보임. 정면에 가까우며 주변 물체의 경계가 많음."
complex_5,complex,default,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,밝은 무늬 배경 위에 밝은 A4 문서가 놓여 있음. 정면에 가까우며 문서와 배경의 밝기 차이가 작음.
complex_5,complex,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,high,밝은 무늬 배경 위에 밝은 A4 문서가 놓여 있음. 정면에 가까우며 문서와 배경의 밝기 차이가 작음.
complex_5,complex,strict,False,0,문서와 배경의 낮은 밝기 대비로 외곽 edge 누락.,uniform,front,high,밝은 무늬 배경 위에 밝은 A4 문서가 놓여 있음. 정면에 가까우며 문서와 배경의 밝기 차이가 작음.
shadow_1,shadow,default,False,0,불균일 조명·반사 조건에서 외곽 contour가 면적 기준을 통과하지 못함.,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 왼쪽·아래쪽보다 오른쪽 위가 밝고 강한 반사로 일부 글자와 사진의 대비가 낮아짐.
shadow_1,shadow,sensitive,True,0,반사 영역 근처 오른쪽 위 꼭짓점을 배경으로 잘못 잡아 보정 영상에 배경이 남음.,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 왼쪽·아래쪽보다 오른쪽 위가 밝고 강한 반사로 일부 글자와 사진의 대비가 낮아짐.
shadow_1,shadow,strict,False,0,불균일 조명·반사 조건에서 외곽 contour가 면적 기준을 통과하지 못함.,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 왼쪽·아래쪽보다 오른쪽 위가 밝고 강한 반사로 일부 글자와 사진의 대비가 낮아짐.
shadow_2,shadow,default,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 중앙 부근을 지나는 세로 방향의 명암 경계가 있고 왼쪽이 더 어두움.
shadow_2,shadow,sensitive,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 중앙 부근을 지나는 세로 방향의 명암 경계가 있고 왼쪽이 더 어두움.
shadow_2,shadow,strict,False,0,그림자 조건에서 외곽 연결이 끊겨 contour 면적 기준 미달.,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 중앙 부근을 지나는 세로 방향의 명암 경계가 있고 왼쪽이 더 어두움.
shadow_3,shadow,default,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 왼쪽 위에서 오른쪽 아래로 이어지는 대각선 명암 경계가 문서 내부를 가로지름.
shadow_3,shadow,sensitive,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 왼쪽 위에서 오른쪽 아래로 이어지는 대각선 명암 경계가 문서 내부를 가로지름.
shadow_3,shadow,strict,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 왼쪽 위에서 오른쪽 아래로 이어지는 대각선 명암 경계가 문서 내부를 가로지름.
shadow_4,shadow,default,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 세로 영수증. 정면에 가까우며 영수증 중앙부터 아래쪽에 걸쳐 핸드폰을 쥔 사람 손 모양의 어두운 영역이 겹쳐 있음.
shadow_4,shadow,sensitive,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 세로 영수증. 정면에 가까우며 영수증 중앙부터 아래쪽에 걸쳐 핸드폰을 쥔 사람 손 모양의 어두운 영역이 겹쳐 있음.
shadow_4,shadow,strict,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 세로 영수증. 정면에 가까우며 영수증 중앙부터 아래쪽에 걸쳐 핸드폰을 쥔 사람 손 모양의 어두운 영역이 겹쳐 있음.
shadow_5,shadow,default,False,0,강한 그림자로 오른쪽 문서 경계가 약해져 외곽 검출 실패.,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 중앙 부근의 세로 명암 경계를 기준으로 오른쪽 절반이 크게 어두워짐.
shadow_5,shadow,sensitive,True,1,문서 검출 및 원근 보정 성공,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 중앙 부근의 세로 명암 경계를 기준으로 오른쪽 절반이 크게 어두워짐.
shadow_5,shadow,strict,False,0,강한 그림자로 오른쪽 문서 경계가 약해져 외곽 검출 실패.,uneven,front,low,단순한 어두운 배경 위 정면에 가까운 문서. 중앙 부근의 세로 명암 경계를 기준으로 오른쪽 절반이 크게 어두워짐.
simple_1,simple,default,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 정면에 가깝고 문서가 거의 수직으로 배치되어 있으며 밝기가 비교적 균일함.
simple_1,simple,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 정면에 가깝고 문서가 거의 수직으로 배치되어 있으며 밝기가 비교적 균일함.
simple_1,simple,strict,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 정면에 가깝고 문서가 거의 수직으로 배치되어 있으며 밝기가 비교적 균일함.
simple_2,simple,default,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 세로로 긴 영수증. 정면에 가까우며 밝은 영수증과 배경의 대비가 뚜렷함.
simple_2,simple,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 세로로 긴 영수증. 정면에 가까우며 밝은 영수증과 배경의 대비가 뚜렷함.
simple_2,simple,strict,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 세로로 긴 영수증. 정면에 가까우며 밝은 영수증과 배경의 대비가 뚜렷함.
simple_3,simple,default,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 가로형 명함. 정면에 가까우며 밝기가 비교적 균일하고 명함과 배경의 대비가 뚜렷함.
simple_3,simple,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 가로형 명함. 정면에 가까우며 밝기가 비교적 균일하고 명함과 배경의 대비가 뚜렷함.
simple_3,simple,strict,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 가로형 명함. 정면에 가까우며 밝기가 비교적 균일하고 명함과 배경의 대비가 뚜렷함.
simple_4,simple,default,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 화면 안에서 시계 방향으로 회전되어 있으며 밝기가 비교적 균일함.
simple_4,simple,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 화면 안에서 시계 방향으로 회전되어 있으며 밝기가 비교적 균일함.
simple_4,simple,strict,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 화면 안에서 시계 방향으로 회전되어 있으며 밝기가 비교적 균일함.
simple_5,simple,default,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 위쪽 폭이 아래쪽보다 조금 좁은 약한 사다리꼴 형태이며 밝기가 비교적 균일함.
simple_5,simple,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 위쪽 폭이 아래쪽보다 조금 좁은 약한 사다리꼴 형태이며 밝기가 비교적 균일함.
simple_5,simple,strict,True,1,문서 검출 및 원근 보정 성공,uniform,front,low,단순한 어두운 배경 위 밝은 A4 문서. 위쪽 폭이 아래쪽보다 조금 좁은 약한 사다리꼴 형태이며 밝기가 비교적 균일함.
tilted_1,tilted,default,True,1,문서 네 모서리 검출 및 전체 원근 보정 성공. 구김에 따른 국소 굴곡과 음영은 남음.,uneven,45deg+,low,단순한 어두운 배경 위 밝은 A4 문서. 위쪽 폭이 아래쪽보다 좁은 사다리꼴 형태이며 종이 전반에 구김과 접힌 자국이 있고 외곽도 굴곡짐.
tilted_1,tilted,sensitive,True,1,문서 네 모서리 검출 및 전체 원근 보정 성공. 구김에 따른 국소 굴곡과 음영은 남음.,uneven,45deg+,low,단순한 어두운 배경 위 밝은 A4 문서. 위쪽 폭이 아래쪽보다 좁은 사다리꼴 형태이며 종이 전반에 구김과 접힌 자국이 있고 외곽도 굴곡짐.
tilted_1,tilted,strict,True,1,문서 네 모서리 검출 및 전체 원근 보정 성공. 구김에 따른 국소 굴곡과 음영은 남음.,uneven,45deg+,low,단순한 어두운 배경 위 밝은 A4 문서. 위쪽 폭이 아래쪽보다 좁은 사다리꼴 형태이며 종이 전반에 구김과 접힌 자국이 있고 외곽도 굴곡짐.
tilted_2,tilted,default,True,1,문서 검출 및 원근 보정 성공,uniform,45deg+,low,단순한 어두운 배경 위 밝은 A4 문서. 상하·좌우 변이 화면 축과 비스듬하고 양쪽 변의 기울기가 달라 비대칭 원근 왜곡이 보임.
tilted_2,tilted,sensitive,True,1,문서 검출 및 원근 보정 성공,uniform,45deg+,low,단순한 어두운 배경 위 밝은 A4 문서. 상하·좌우 변이 화면 축과 비스듬하고 양쪽 변의 기울기가 달라 비대칭 원근 왜곡이 보임.
tilted_2,tilted,strict,True,1,문서 검출 및 원근 보정 성공,uniform,45deg+,low,단순한 어두운 배경 위 밝은 A4 문서. 상하·좌우 변이 화면 축과 비스듬하고 양쪽 변의 기울기가 달라 비대칭 원근 왜곡이 보임.
